name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iterations
1hii_ligand,-2.757352,160,13,19,93,3216000,100,100,200
1hii_ligand,-5.308473,239,14,19,93,4803900,100,100,200
1hii_ligand,-5.667261,175,1,19,93,3517500,100,100,200
1hii_ligand,-4.737464,114,2,19,93,2291400,100,100,200
1hii_ligand,-9.891748,160,3,19,93,3216000,100,100,200
1hii_ligand,-4.266785,126,4,19,93,2532600,100,100,200
1hii_ligand,-4.816608,270,5,19,93,5427000,100,100,200
1hii_ligand,-4.514560,210,6,19,93,4221000,100,100,200
1hii_ligand,-5.632905,108,7,19,93,2170800,100,100,200
1hii_ligand,-2.551230,150,8,19,93,3015000,100,100,200
1hii_ligand,-3.377754,154,9,19,93,3095400,100,100,200
1hii_ligand,-0.186587,500,0,19,93,1300000,100,100,25
1hii_ligand,6.123683,500,10,19,93,1300000,100,100,25
1hii_ligand,-1.724774,417,11,19,93,1084200,100,100,25
1hii_ligand,-6.049325,480,12,19,93,1248000,100,100,25
1hii_ligand,-4.287144,191,13,19,93,496600,100,100,25
1hii_ligand,-1.083374,500,14,19,93,1300000,100,100,25
1hii_ligand,-1.158617,411,1,19,93,1068600,100,100,25
1hii_ligand,16.560215,268,2,19,93,696800,100,100,25
1hii_ligand,182.783005,179,3,19,93,465400,100,100,25
1hii_ligand,-2.663000,254,4,19,93,660400,100,100,25
1hii_ligand,9.773801,500,5,19,93,1300000,100,100,25
1hii_ligand,-5.404562,309,6,19,93,803400,100,100,25
