name,score,generations,seed,rotamers,atoms,evaluations,population,rate,iteration
1fkb_ligand,-2.491166,333,7,6,144,116550,100,25,10
1fkb_ligand,-4.440740,333,8,6,144,116550,100,25,10
1fkb_ligand,-4.457629,333,9,6,144,116550,100,25,10
1fkb_ligand,-15.225717,19,0,6,144,96900,100,25,200
1fkb_ligand,-3.588744,19,10,6,144,96900,100,25,200
1fkb_ligand,-5.888200,19,11,6,144,96900,100,25,200
1fkb_ligand,-8.422797,19,12,6,144,96900,100,25,200
1fkb_ligand,-5.476124,19,13,6,144,96900,100,25,200
1fkb_ligand,-6.521911,19,14,6,144,96900,100,25,200
1fkb_ligand,-6.400208,19,1,6,144,96900,100,25,200
1fkb_ligand,-5.217988,19,2,6,144,96900,100,25,200
1fkb_ligand,-3.530363,19,3,6,144,96900,100,25,200
1fkb_ligand,-7.674047,19,4,6,144,96900,100,25,200
1fkb_ligand,-2.626434,19,5,6,144,96900,100,25,200
1fkb_ligand,-4.657098,19,6,6,144,96900,100,25,200
1fkb_ligand,-4.590850,19,7,6,144,96900,100,25,200
1fkb_ligand,-3.233736,19,8,6,144,96900,100,25,200
1fkb_ligand,-6.895306,19,9,6,144,96900,100,25,200
1fkb_ligand,-16.537678,142,0,6,144,102950,100,25,25
1fkb_ligand,-2.000116,142,10,6,144,102950,100,25,25
1fkb_ligand,-3.671814,142,11,6,144,102950,100,25,25
1fkb_ligand,-6.145143,142,12,6,144,102950,100,25,25
1fkb_ligand,-5.860292,142,13,6,144,102950,100,25,25
1fkb_ligand,-6.551339,142,14,6,144,102950,100,25,25
1fkb_ligand,-3.544726,142,1,6,144,102950,100,25,25
1fkb_ligand,-4.241330,142,2,6,144,102950,100,25,25
1fkb_ligand,-3.472425,142,3,6,144,102950,100,25,25
1fkb_ligand,-7.670535,142,4,6,144,102950,100,25,25
1fkb_ligand,-5.629154,142,5,6,144,102950,100,25,25
1fkb_ligand,-4.059844,142,6,6,144,102950,100,25,25
1fkb_ligand,-1.158931,142,7,6,144,102950,100,25,25
1fkb_ligand,-3.256764,142,8,6,144,102950,100,25,25
1fkb_ligand,-5.034160,142,9,6,144,102950,100,25,25
1fkb_ligand,-11.726255,13,0,6,144,98800,100,25,300
1fkb_ligand,-4.549415,13,10,6,144,98800,100,25,300
1fkb_ligand,-6.362144,13,11,6,144,98800,100,25,300
1fkb_ligand,-7.367110,13,12,6,144,98800,100,25,300
1fkb_ligand,-5.934853,13,13,6,144,98800,100,25,300
1fkb_ligand,-6.759198,13,14,6,144,98800,100,25,300
1fkb_ligand,-6.024294,13,1,6,144,98800,100,25,300
1fkb_ligand,-6.007060,13,2,6,144,98800,100,25,300
1fkb_ligand,-2.754950,13,3,6,144,98800,100,25,300
1fkb_ligand,-7.735593,13,4,6,144,98800,100,25,300
1fkb_ligand,-3.865962,13,5,6,144,98800,100,25,300
1fkb_ligand,-5.754611,13,6,6,144,98800,100,25,300
1fkb_ligand,-5.093524,13,7,6,144,98800,100,25,300
1fkb_ligand,-3.021935,13,8,6,144,98800,100,25,300
1fkb_ligand,-7.040425,13,9,6,144,98800,100,25,300
1fkb_ligand,-4.768857,76,0,6,144,102600,100,25,50
1fkb_ligand,-2.083652,76,10,6,144,102600,100,25,50
1fkb_ligand,-3.426324,76,11,6,144,102600,100,25,50
1fkb_ligand,-6.136104,76,12,6,144,102600,100,25,50
1fkb_ligand,-7.543302,76,13,6,144,102600,100,25,50
1fkb_ligand,-5.736164,76,14,6,144,102600,100,25,50
1fkb_ligand,-2.285589,76,1,6,144,102600,100,25,50
1fkb_ligand,-4.033029,76,2,6,144,102600,100,25,50
1fkb_ligand,-3.832793,76,3,6,144,102600,100,25,50
1fkb_ligand,-7.506102,76,4,6,144,102600,100,25,50
1fkb_ligand,-2.330762,76,5,6,144,102600,100,25,50
1fkb_ligand,664.099365,76,6,6,144,102600,100,25,50
1fkb_ligand,-4.530544,76,7,6,144,102600,100,25,50
1fkb_ligand,-3.107598,76,8,6,144,102600,100,25,50
1fkb_ligand,-6.919901,76,9,6,144,102600,100,25,50
1fkb_ligand,-17.543449,19,0,6,144,96900,100,50,100
1fkb_ligand,-4.471245,19,10,6,144,96900,100,50,100
1fkb_ligand,-4.401500,19,11,6,144,96900,100,50,100
1fkb_ligand,-7.268505,19,12,6,144,96900,100,50,100
1fkb_ligand,-5.961511,19,13,6,144,96900,100,50,100
1fkb_ligand,-5.707316,19,14,6,144,96900,100,50,100
1fkb_ligand,-4.901883,19,1,6,144,96900,100,50,100
1fkb_ligand,-6.196229,19,2,6,144,96900,100,50,100
1fkb_ligand,-3.455674,19,3,6,144,96900,100,50,100
1fkb_ligand,-7.612325,19,4,6,144,96900,100,50,100
1fkb_ligand,-4.235558,19,5,6,144,96900,100,50,100
1fkb_ligand,-5.569011,19,6,6,144,96900,100,50,100
1fkb_ligand,-4.810594,19,7,6,144,96900,100,50,100
1fkb_ligand,-3.217968,19,8,6,144,96900,100,50,100
1fkb_ligand,-8.625634,19,9,6,144,96900,100,50,100
