name,score,gen,seed,rot,atoms,evals,population,rate,iterations,rmsd_best_scoring_pose,rmsd_min
5wuk_ligand,1126.566162,500,1,5,41,15050000,100,100,300,22.037022,21.917456
5wuk_ligand,204.044662,500,2,5,41,50000,100,N/A,N/A,11.646894,11.126602
5wuk_ligand,198.407272,500,2,5,41,15050000,100,100,300,11.629859,11.112585
5wuk_ligand,1205.402222,500,3,5,41,50000,100,N/A,N/A,23.820185,23.363350
5wuk_ligand,1165.746216,500,3,5,41,15050000,100,100,300,23.734089,23.382034
5wuk_ligand,131.541214,500,4,5,41,50000,100,N/A,N/A,23.720716,23.006680
5wuk_ligand,119.800346,500,4,5,41,15050000,100,100,300,23.684074,22.974377
5wuk_ligand,5067.461914,500,5,5,41,50000,100,N/A,N/A,19.977491,19.573521
5wuk_ligand,2268.162354,500,5,5,41,15050000,100,100,300,20.340038,20.003279
5wuk_ligand,128.402710,500,6,5,41,50000,100,N/A,N/A,20.665819,20.432411
5wuk_ligand,119.837257,500,6,5,41,15050000,100,100,300,20.613251,20.379591
5wuk_ligand,858.484436,500,7,5,41,50000,100,N/A,N/A,19.241301,18.322994
5wuk_ligand,781.384521,500,7,5,41,15050000,100,100,300,19.281767,18.365984
5wuk_ligand,1512.139282,500,8,5,41,50000,100,N/A,N/A,20.268072,19.591600
5wuk_ligand,1171.236694,500,8,5,41,15050000,100,100,300,19.760708,19.603575
5wuk_ligand,626.077271,500,9,5,41,50000,100,N/A,N/A,22.406534,22.069538
5wuk_ligand,562.921936,500,9,5,41,15050000,100,100,300,22.450949,22.115820
